,Alcohol,Alzheimers & Dementia,Anemia,Asthma,Birth Trauma,Bladder Cancer,Breast Cancer,Cervical Cancer,Colon-Rectum Cancers,Congenital Anomalies,Coronary Heart Disease,Diabetes Mellitus,Diarrhoeal diseases,Drownings,Drug Use,Endocrine Disorders,Falls,Fires,Hepatitis C,HIV/AIDS,Hypertension,Inflammatory/Heart,Kidney Disease,Leukemia,Liver Cancer,Liver Disease,Low Birth Weight,Lung Cancers,Lung Disease,Malaria,Malnutrition,Multiple Sclerosis,Oesophagus Cancer,Oral Cancer,Ovary Cancer,Pancreas Cancer,Peptic Ulcer Disease,Poisonings,Prostate Cancer,Rheumatic Heart Disease,Road Traffic Accidents,Skin Cancers,Skin Disease,Stomach Cancer,Stroke,Suicide,Tuberculosis,Uterin Cancer,Labor Force ,Electricity Production ,Petroleum Consumption ,Total Fertility Rates ,Young Population ,Natural Gas Consumption ,Infant Mortality Rates ,Natural Gas Production ,Taxes ,Maternal Mortality Rates ,Gross Domestic Product (GDP) ,Imports ,Older Population ,Carbon Dioxide Emissions ,Obesity ,Nuclear Electricity ,Electricity by Renewable Sources ,Natural Gas Imports ,Population ,Median Age ,Unimproved Drinking Water Sources ,Crude Oil Exports ,Hydro Electricity ,Electricity Consumption ,Inflation Rates ,External Debts ,Crude Oil Imports ,Birth Rates ,Deaths per Day,Life Expectancy,Emerging Countries,Global North Countries,Global South Countries,Medical Bankruptcies by Country,Richest Countries in the World,Social Mobility by Country,Countries by IQ - Average IQ by Country,Diabetes Rates by Country,Health Care Costs by Country,Lactose Intolerance by Country,Obesity Rates by Country,Zika Virus Countries
Belize,92.66,0.0,2.51,1.5,0.0,636.87,9.27,7.47,4.45,73.43,53.85,2.79,5.99,0.43,7.01,4.43,1.06,0.01,33.57,17.49,6.25,636.87,0.88,9.53,20.2,3.22,11.67,18.01,0.0,3.27,0.14,0.84,0.0,10.64,3.57,636.87,0.38,18.77,1.03,23.61,0.0,2.0,8.5,48.39,7.65,2.92,0.47,40.23,120500.0,280.0,4000.0,2.66,32.6,0.0,11.4,0.0,28.2,36.0,3218.0,845.9,4.5,556700.0,24.1,0.0,22.0,0.0,419200.0,23.9,0.5,1220.0,27.0,453.0,1.1,1327.0,0.0,21.62,5.0,74.946,412190.0,No,Yes,412190.0,1590000000.0,412190.0,62.55,0.15,412190.0,412190.0,0.24100000000000002,Current or past transmission but no Zika outbreak
Hungary,162.44,0.18,0.61,0.29,4.92,602.44,2.77,24.53,2.87,155.07,11.33,1.26,0.78,0.43,3.35,7.81,0.65,0.36,0.14,29.84,9.17,602.44,4.95,4.19,19.03,1.64,43.54,30.26,0.0,0.14,0.71,3.13,7.91,4.45,10.4,602.44,0.4,5.73,1.04,6.33,2.81,0.63,6.77,50.69,11.78,0.38,1.98,1.17,4599000.0,30220.0,167700.0,1.48,14.5,10390000.0,4.69,1812000.0,49.0,12.0,283100.0,96300.0,20.7,51280000.0,26.4,22.0,13.0,13370000.0,9767000.0,43.6,0.0,2713.0,1.0,39370.0,2.4,131200.0,121000.0,8.72,339.0,77.174,9606259.0,Yes,No,9606259.0,155810000000.0,9606259.0,99.24,0.07,9606259.0,9606259.0,0.264,No mosquitoes that spread Zika
Brazil,102.82,0.98,1.09,1.71,2.18,574.01,4.0,9.62,6.33,68.14,24.64,2.48,2.32,1.08,7.18,7.64,0.46,0.82,5.44,11.69,7.37,574.01,3.72,4.81,9.02,3.14,13.2,24.17,0.02,2.76,0.15,4.36,4.15,6.04,4.99,574.01,0.14,7.78,0.93,15.08,2.06,2.94,7.5,50.4,6.41,2.19,1.16,31.58,104200000.0,567900.0,2956000.0,1.73,21.1,34350000.0,18.37,23960000.0,35.7,60.0,2973364.0,153200.0,9.2,513800000.0,22.1,1.0,18.0,10510000.0,211756000.0,33.2,1.9,736600.0,64.0,509100.0,3.4,544100.0,297700.0,13.44,3968.0,76.368,215353593.0,No,Yes,215353593.0,1450000000000.0,215353593.0,83.38,0.09,215353593.0,215353593.0,0.221,Current or past transmission but no Zika outbreak
Croatia,147.88,0.11,0.61,0.47,4.59,496.12,1.94,22.13,3.57,104.12,16.5,0.63,1.44,1.38,1.14,8.06,0.44,0.72,0.14,8.69,5.3,496.12,4.76,5.38,11.97,0.39,32.33,17.68,0.0,0.01,0.78,2.27,4.18,4.76,7.92,496.12,0.23,7.39,1.16,6.58,3.49,0.07,8.24,52.82,11.01,0.65,2.02,0.89,1559000.0,12200.0,73000.0,1.44,14.2,2577000.0,8.91,1048000.0,43.1,8.0,99339.0,22340.0,21.1,17960000.0,24.4,0.0,16.0,1841000.0,4049000.0,43.9,0.4,0.0,40.0,15930.0,1.1,48110.0,55400.0,8.68,148.0,78.866,4059286.0,Yes,No,4059286.0,57200000000.0,4059286.0,95.75,0.05,4059286.0,4059286.0,0.244,No mosquitoes that spread Zika
Slovakia,157.25,0.05,0.48,0.37,4.61,509.62,3.13,24.87,4.13,99.61,7.45,0.35,2.12,0.68,1.93,13.03,0.51,0.15,0.03,9.84,4.1,509.62,4.79,4.7,17.16,2.38,25.91,10.88,0.0,0.28,0.64,3.3,7.93,7.2,8.9,509.62,0.42,8.9,0.68,5.28,3.59,1.63,8.29,35.9,9.31,0.3,2.76,0.91,2758000.0,25320.0,85880.0,1.45,15.1,4672000.0,4.9,104800.0,38.6,5.0,177968.0,80070.0,17.1,34860000.0,20.5,27.0,13.0,4984000.0,5459000.0,41.8,0.0,1022.0,24.0,26640.0,1.3,75040.0,111200.0,9.1,153.0,77.862,5460193.0,Yes,No,5460193.0,105090000000.0,5460193.0,96.32,0.06,5460193.0,5460193.0,0.205,No mosquitoes that spread Zika
Czech Republic,128.77,0.08,0.78,0.34,4.23,477.2,1.87,17.0,1.85,118.91,15.38,0.99,1.09,1.06,3.53,3.65,0.34,0.11,0.07,9.13,3.64,477.2,4.71,4.05,12.83,1.16,24.04,16.76,0.0,1.12,0.63,3.09,4.84,11.02,10.31,477.2,0.25,6.17,1.03,5.54,2.77,0.83,4.84,30.06,9.48,0.13,1.84,0.54,5427000.0,77390.0,213700.0,1.49,15.2,8721000.0,2.42,229400.0,38.1,3.0,385685.0,134700.0,20.2,115800000.0,26.0,19.0,16.0,8891000.0,10700000.0,43.3,0.0,446.0,5.0,62340.0,2.4,128900.0,155900.0,8.75,317.0,79.71,10736784.0,Yes,No,10736784.0,245340000000.0,10736784.0,94.92,0.07,10736784.0,10736784.0,0.26,No mosquitoes that spread Zika
Luxembourg,108.97,0.51,0.39,0.12,3.49,346.09,0.98,11.34,1.87,48.9,4.83,0.44,0.26,1.05,4.44,4.59,0.27,0.39,0.32,3.39,3.87,346.09,4.71,4.48,8.07,0.65,25.47,18.82,0.0,1.15,0.42,3.03,1.92,7.14,7.48,346.09,0.2,5.1,1.36,3.62,1.92,0.31,4.48,18.65,8.62,0.13,1.38,0.42,282800.0,335.0,59850.0,1.63,16.7,792800.0,3.3,0.0,42.4,5.0,56190.0,20660.0,15.4,10720000.0,22.6,0.0,67.0,792800.0,630400.0,39.5,0.0,0.0,8.0,6475.0,2.1,3781000.0,0.0,11.62,12.0,82.624,642371.0,Yes,No,642371.0,73290000000.0,642371.0,99.87,0.06,642371.0,642371.0,0.226,No mosquitoes that spread Zika
Suriname,121.12,0.0,2.86,3.68,1.06,832.23,8.69,13.75,5.78,123.28,53.75,5.98,4.8,1.3,6.72,6.6,2.29,0.01,23.57,25.66,6.86,832.23,3.6,8.43,24.32,6.28,18.83,18.0,0.0,2.5,0.18,0.42,2.8,13.07,4.88,832.23,0.3,15.67,1.15,15.53,0.19,10.27,4.64,117.53,25.89,2.93,1.02,5.85,144000.0,1967.0,13000.0,1.85,23.4,0.0,26.6,0.0,11.4,120.0,8688.0,1293.0,6.6,2075000.0,26.4,0.0,2.0,0.0,603500.0,31.0,5.2,0.0,38.0,1750.0,22.0,1235.0,820.0,14.7,12.0,72.002,596831.0,No,Yes,596831.0,2880000000.0,596831.0,90.29,0.13,596831.0,596831.0,0.264,Current or past transmission but no Zika outbreak
Mozambique,108.28,0.0,14.89,10.26,1.76,1471.81,22.65,3.14,8.38,114.09,56.89,57.95,4.35,0.92,4.6,11.5,5.56,0.37,223.85,55.74,6.41,1471.81,2.73,7.47,27.8,10.84,1.73,27.71,44.55,18.97,0.24,7.53,3.85,21.87,0.61,1471.81,5.07,7.65,3.33,48.9,4.25,2.46,1.62,199.97,23.2,14.56,0.85,4.29,12900000.0,18390.0,26000.0,4.89,45.6,1841000.0,63.03,6003000.0,21.2,289.0,35426.0,5223.0,2.9,11120000.0,7.2,0.0,1.0,0.0,30067000.0,17.0,48.9,0.0,83.0,11570.0,15.3,9554.0,0.0,38.03,698.0,61.714,33089461.0,No,Yes,33089461.0,14030000000.0,33089461.0,72.5,0.03,33089461.0,33089461.0,0.07200000000000001,With mosquitoes but no reported Zika cases
Belgium,114.06,0.45,0.46,0.53,3.54,379.83,1.16,11.97,2.57,44.62,4.21,1.14,0.52,1.97,4.82,5.68,0.46,0.22,0.26,1.78,3.38,379.83,4.44,3.89,7.38,0.79,28.49,20.24,0.0,0.71,0.67,3.84,3.11,6.43,7.06,379.83,0.25,5.5,0.81,5.1,2.14,0.98,3.31,21.11,13.93,0.18,1.33,1.19,5324000.0,79830.0,648600.0,1.77,17.2,17610000.0,3.24,0.0,49.4,5.0,493888.0,300400.0,19.2,134700000.0,22.1,28.0,36.0,18090000.0,11523000.0,41.6,0.0,0.0,1.0,82160.0,2.2,1281000.0,687600.0,11.03,311.0,82.014,11668278.0,Yes,No,11668278.0,521450000000.00006,11668278.0,97.49,0.04,11668278.0,11668278.0,0.221,No mosquitoes that spread Zika
Canada,106.57,0.32,0.37,0.65,2.89,345.57,0.99,12.23,2.99,45.15,7.22,0.9,0.71,8.7,4.41,5.07,0.41,0.6,0.33,2.79,2.94,345.57,4.06,4.21,5.73,1.9,27.23,15.91,0.0,0.21,1.09,3.01,2.18,3.35,6.57,345.57,0.25,5.17,0.73,4.58,2.27,0.76,2.86,15.12,10.34,0.13,1.54,1.6,19520000.0,649600.0,2445000.0,1.57,16.0,124400000.0,4.44,159100000.0,38.8,10.0,1647310.0,442100.0,19.0,640600000.0,29.4,9.0,12.0,26360000.0,38005000.0,41.8,0.2,2818000.0,56.0,522200.0,1.6,1608000.0,806700.0,10.21,826.0,82.812,38388419.0,Yes,No,38388419.0,1650000000000.0,38388419.0,99.52,0.08,38388419.0,38388419.0,0.294,No mosquitoes that spread Zika
Turkmenistan,95.51,0.0,1.08,8.81,1.79,824.05,5.44,4.31,8.77,278.65,16.1,5.08,2.33,0.84,2.31,1.94,2.02,0.04,52.75,13.37,13.5,824.05,2.47,6.4,41.99,11.05,9.52,8.7,0.0,0.14,0.24,9.55,4.1,5.68,3.11,824.05,0.62,1.58,1.81,15.37,1.38,0.22,10.51,125.89,6.07,11.87,1.37,3.13,2305000.0,21180.0,160000.0,2.04,25.4,39310000.0,38.54,77450000.0,10.3,7.0,98891.0,4571.0,5.4,100500000.0,18.6,0.0,0.0,0.0,5529000.0,29.2,28.9,67790.0,0.0,15090.0,8.0,502.8,0.0,17.85,119.0,68.5,6201943.0,No,Yes,6201943.0,53190000000.0,6201943.0,85.86,0.07,6201943.0,6201943.0,0.18600000000000003,No mosquitoes that spread Zika
Serbia,158.43,0.79,2.18,0.75,4.93,644.33,4.61,19.81,2.56,116.5,19.21,0.88,0.71,0.66,2.12,2.17,0.44,0.09,0.27,8.11,75.38,644.33,4.67,5.39,6.26,2.99,40.2,20.58,0.0,0.07,1.19,2.1,4.38,3.18,8.2,644.33,0.14,6.77,0.43,6.23,3.84,0.67,7.17,83.3,7.86,0.63,2.16,1.05,2920000.0,36540.0,74000.0,1.47,14.1,2718000.0,5.67,509700.0,42.9,12.0,142474.0,20440.0,20.0,50210000.0,21.5,0.0,1.0,2010000.0,6908000.0,43.4,0.8,123.0,35.0,29810.0,3.1,31640.0,40980.0,8.74,314.0,76.33,8653016.0,Yes,No,8653016.0,53340000000.0,8653016.0,89.6,0.09,8653016.0,8653016.0,0.215,No mosquitoes that spread Zika
Mexico,71.07,1.71,1.07,1.53,1.06,571.83,3.92,5.72,7.31,92.41,71.86,2.81,1.42,1.18,9.09,2.13,0.48,0.52,3.23,14.3,1.51,571.83,3.88,5.75,24.62,4.31,6.21,23.06,0.0,5.75,0.24,1.05,1.13,9.65,3.8,571.83,0.42,6.21,0.71,12.86,1.53,2.43,5.77,32.08,5.29,1.58,0.75,25.3,54510000.0,302700.0,1984000.0,2.17,26.0,81610000.0,11.64,31570000.0,21.1,33.0,2156946.0,420800.0,7.7,454100000.0,28.9,2.0,9.0,50120000.0,126014000.0,29.3,3.9,1214000.0,17.0,258700.0,6.0,484600.0,0.0,17.29,2233.0,75.324,131562772.0,Yes,No,131562772.0,1090000000000.0001,131562772.0,87.73,0.17,131562772.0,131562772.0,0.289,Current or past transmission but no Zika outbreak
Norway,105.42,0.45,0.64,0.41,2.8,338.68,1.3,15.79,2.44,40.1,4.85,0.92,0.9,4.45,3.19,5.7,0.54,0.24,0.15,1.54,2.1,338.68,3.34,2.59,2.41,0.57,22.09,21.82,0.0,0.87,1.29,2.37,1.64,4.72,7.2,338.68,0.23,8.89,0.47,1.76,3.96,0.85,3.15,18.16,9.91,0.11,1.21,0.56,2797000.0,147700.0,205300.0,1.84,18.0,4049000.0,2.34,123900000.0,53.1,2.0,326290.0,95060.0,17.4,39800000.0,23.1,0.0,4.0,5663.0,5375000.0,39.5,0.0,1383000.0,93.0,122200.0,1.9,642300.0,36550.0,12.09,119.0,82.788,5511370.0,Yes,No,5511370.0,362200000000.0,5511370.0,97.13,0.04,5511370.0,5511370.0,0.231,No mosquitoes that spread Zika
Eritrea,86.61,0.0,16.35,7.37,2.26,1249.0,6.69,5.79,6.4,119.4,51.06,102.04,3.38,1.45,3.0,8.77,5.0,0.32,10.85,52.22,5.74,1249.0,6.26,3.56,61.76,6.6,3.27,36.46,13.87,26.52,0.19,4.3,3.62,21.49,1.05,1249.0,4.38,3.0,3.69,54.13,1.58,2.17,2.5,139.66,17.26,21.74,0.94,13.64,2710000.0,416.0,4000.0,3.65,38.2,0.0,42.39,0.0,29.5,480.0,9702.0,1127.0,4.0,597100.0,5.0,0.0,1.0,0.0,6081000.0,20.3,42.2,0.0,0.0,354.0,9.0,820.2,0.0,27.41,67.0,67.132,3662244.0,No,Yes,3662244.0,2080000000.0,3662244.0,68.77,0.07,3662244.0,3662244.0,0.05,With mosquitoes but no reported Zika cases
Azerbaijan,83.96,0.0,4.91,3.97,1.95,918.92,2.63,8.13,5.13,388.41,24.99,2.98,3.36,0.49,3.23,3.12,4.77,0.01,3.61,27.98,17.04,918.92,1.42,3.86,37.38,6.07,13.09,21.56,0.0,0.2,0.13,6.12,1.59,4.59,3.08,918.92,0.89,1.82,2.05,6.56,1.44,0.15,13.2,151.52,3.97,5.92,1.08,2.45,5118000.0,23570.0,100000.0,1.87,22.8,10340000.0,24.1,16960000.0,30.9,26.0,159167.0,9037.0,7.3,35600000.0,19.9,0.0,2.0,2095000.0,10110000.0,32.6,13.0,718800.0,14.0,20240.0,13.0,12650.0,0.0,14.03,196.0,73.226,10300205.0,Yes,No,10300205.0,42690000000.0,10300205.0,84.81,0.06,10300205.0,10300205.0,0.19899999999999998,No mosquitoes that spread Zika
Somalia,118.2,0.0,25.62,16.45,2.4,1558.49,12.19,8.09,8.94,129.66,48.19,128.81,6.47,0.62,3.58,7.93,6.16,0.46,6.27,50.05,5.86,1558.49,6.38,3.62,57.15,11.34,3.67,44.55,16.08,42.27,0.11,7.97,4.64,31.38,1.69,1558.49,5.99,5.7,5.27,38.94,2.55,1.92,4.92,150.17,14.66,109.27,1.26,6.81,4154000.0,339.0,5600.0,5.41,42.4,0.0,88.03,0.0,2.5,829.0,20440.0,94430.0,2.3,852500.0,8.3,0.0,7.0,0.0,14350000.0,18.5,68.3,0.0,0.0,315.0,1.5,3054.0,0.0,38.25,470.0,58.06,16841795.0,No,Yes,16841795.0,6960000000.0,16841795.0,67.67,0.07,16841795.0,16841795.0,0.083,With mosquitoes but no reported Zika cases
Costa Rica,83.93,0.38,1.02,0.93,1.52,384.34,2.75,10.02,6.46,40.74,14.87,1.36,1.86,1.1,3.05,1.9,0.2,0.02,3.47,12.84,3.09,384.34,4.57,6.19,6.24,3.45,5.56,15.14,0.0,0.57,0.19,0.96,1.6,8.81,4.73,384.34,0.11,6.85,0.53,14.0,2.09,1.88,10.69,24.44,7.62,0.53,1.31,12.02,2229000.0,10790.0,53000.0,1.87,22.1,0.0,8.59,0.0,14.1,27.0,83940.0,15150.0,8.8,7653000.0,25.7,0.0,18.0,0.0,5111000.0,32.6,2.2,0.0,64.0,9812.0,1.6,24910.0,0.0,14.53,76.0,80.752,5182354.0,No,Yes,5182354.0,62140000000.0,5182354.0,88.34,0.09,5182354.0,5182354.0,0.257,Current or past transmission but no Zika outbreak
Netherlands,125.42,0.46,0.39,0.61,3.42,366.87,0.91,15.0,3.22,38.44,5.62,1.18,0.48,1.03,3.26,8.22,0.18,0.07,0.14,1.62,3.02,366.87,4.14,3.18,3.02,1.38,29.85,21.59,0.0,0.04,0.97,5.83,2.16,3.51,7.94,366.87,0.07,7.26,0.5,2.83,2.94,0.6,3.58,20.66,9.27,0.07,1.44,0.58,7969000.0,109300.0,954500.0,1.78,16.1,43380000.0,3.45,45330000.0,41.9,5.0,884715.0,453800.0,19.8,250200000.0,20.4,1.0,23.0,51000000.0,17422000.0,42.8,0.0,7984.0,0.0,108800.0,1.3,4284000.0,1094000.0,10.98,428.0,82.636,17211447.0,Yes,No,17211447.0,913130000000.0,17211447.0,100.74,0.05,17211447.0,17211447.0,0.204,No mosquitoes that spread Zika
Uruguay,152.65,0.81,2.01,0.62,4.18,543.61,3.78,19.66,5.33,59.81,11.96,1.91,1.79,0.76,7.33,0.9,1.21,0.08,5.35,8.0,5.26,543.61,4.88,2.67,4.17,2.08,27.49,25.09,0.0,1.1,0.29,4.86,3.06,12.74,11.08,543.61,0.34,9.95,0.65,13.84,2.34,1.49,8.46,38.74,18.83,1.72,1.86,8.6,1748000.0,13130.0,53000.0,1.76,19.5,70790.0,8.48,0.0,26.3,17.0,78160.0,8607.0,14.7,7554000.0,27.9,0.0,42.0,70790.0,3531000.0,35.5,0.3,0.0,29.0,10770.0,6.2,21300.0,40200.0,12.75,91.0,78.282,3496016.0,No,Yes,3496016.0,53560000000.0,3496016.0,87.59,0.09,3496016.0,3496016.0,0.27899999999999997,With mosquitoes but no reported Zika cases
Sweden,97.4,0.47,0.56,0.38,2.74,346.11,1.18,12.51,2.78,50.98,6.85,0.88,0.83,4.1,3.09,3.92,0.4,0.27,0.1,5.32,2.58,346.11,3.4,3.36,3.99,0.61,16.11,14.83,0.0,0.37,0.84,2.39,1.75,4.92,7.84,346.11,0.12,8.78,0.38,2.57,2.9,0.7,2.75,19.81,12.37,0.09,1.31,1.22,5361000.0,152900.0,323100.0,1.86,17.7,764500.0,2.45,0.0,48.0,4.0,478680.0,153200.0,20.6,52310000.0,20.6,22.0,32.0,764500.0,10352000.0,41.1,0.0,14570.0,42.0,133500.0,1.9,939900.0,400200.0,11.93,254.0,83.178,10218971.0,Yes,No,10218971.0,541490000000.0,10218971.0,97.0,0.05,10218971.0,10218971.0,0.20600000000000002,No mosquitoes that spread Zika
Djibouti,71.03,0.0,10.33,9.6,2.44,1019.03,5.51,5.28,8.2,121.27,47.76,49.56,3.12,1.34,3.36,7.79,4.26,0.2,38.68,38.28,6.22,1019.03,5.83,2.67,42.55,14.66,2.88,21.95,7.73,25.18,0.19,4.01,2.34,27.05,0.72,1019.03,3.06,3.31,2.16,29.07,1.78,1.91,2.21,117.12,11.95,25.32,0.65,6.49,294600.0,406.0,6360.0,2.17,30.0,0.0,47.78,0.0,36.2,248.0,3640.0,726.4,4.0,950200.0,13.5,0.0,0.0,0.0,990000.0,24.9,10.0,0.0,0.0,377.0,0.7,1339.0,0.0,22.43,19.0,67.604,1016097.0,No,Yes,1016097.0,3410000000.0,1016097.0,68.41,0.07,1016097.0,1016097.0,0.135,With mosquitoes but no reported Zika cases
Rwanda,119.96,0.0,11.9,6.06,0.66,906.8,14.01,12.27,7.02,77.83,36.55,39.89,2.14,0.56,2.79,7.68,2.9,0.18,29.44,30.17,5.09,906.8,3.96,11.48,41.22,6.97,4.46,33.52,35.78,12.03,0.1,3.59,3.02,10.27,3.86,906.8,2.31,9.96,2.15,43.89,1.89,1.71,10.6,105.76,9.45,6.68,1.04,4.56,6227000.0,525.0,6700.0,3.42,40.0,0.0,27.16,0.0,22.4,248.0,24680.0,1922.0,2.7,985600.0,5.8,0.0,7.0,0.0,12663000.0,19.7,23.9,0.0,51.0,527.0,4.8,2442.0,0.0,27.18,183.0,69.688,13600464.0,No,Yes,13600464.0,10330000000.0,13600464.0,69.95,0.07,13600464.0,13600464.0,0.057999999999999996,With mosquitoes but no reported Zika cases
South Africa,133.53,0.0,13.63,3.36,2.19,1051.08,11.53,8.9,6.23,83.76,74.67,33.37,4.06,1.52,11.7,2.99,6.64,0.02,121.35,33.86,12.75,1051.08,3.34,5.46,18.41,7.16,18.34,31.41,0.14,4.41,0.22,8.5,3.18,10.77,4.98,1051.08,1.62,12.48,2.04,22.7,2.47,2.91,3.68,80.5,23.49,39.83,1.28,37.54,22190000.0,234500.0,621000.0,2.2,27.9,5069000.0,26.82,906100.0,27.3,119.0,687303.0,89360.0,6.1,572300000.0,28.3,4.0,10.0,4162000.0,59622000.0,28.0,6.8,0.0,1.0,207100.0,5.3,129700.0,404000.0,18.89,1555.0,64.628,60756135.0,No,Yes,60756135.0,335340000000.0,60756135.0,68.87,0.11,60756135.0,60756135.0,0.28300000000000003,With mosquitoes but no reported Zika cases
Botswana,73.38,0.0,17.13,5.97,0.52,1304.98,10.93,2.09,8.12,133.53,99.86,30.71,3.71,1.4,6.51,4.45,6.18,0.03,252.76,39.78,13.33,1304.98,0.76,4.32,30.38,10.36,3.39,40.61,0.03,8.21,0.19,8.01,5.52,11.76,1.33,1304.98,1.9,4.55,2.43,30.39,4.55,2.52,0.74,133.3,20.22,34.54,0.75,18.25,1177000.0,2527.0,21000.0,2.42,30.5,0.0,25.97,0.0,42.8,144.0,39010.0,5005.0,5.6,6235000.0,18.9,0.0,0.0,0.0,2375000.0,25.7,3.8,0.0,0.0,3636.0,3.3,2386.0,0.0,20.6,39.0,69.706,2441162.0,No,Yes,2441162.0,14930000000.0,2441162.0,69.45,0.05,2441162.0,2441162.0,0.18899999999999997,With mosquitoes but no reported Zika cases
Zambia,101.21,0.0,10.81,10.07,2.36,1232.75,27.33,2.98,8.15,85.4,42.93,54.75,3.21,1.19,3.28,9.14,3.87,0.24,132.99,56.2,6.33,1232.75,2.93,2.22,63.86,9.64,4.41,25.95,54.16,17.63,0.17,5.61,2.39,13.38,0.68,1232.75,3.48,13.28,2.7,32.93,1.87,1.69,3.21,156.5,14.43,49.91,0.52,7.04,6898000.0,11550.0,23000.0,4.63,45.7,0.0,37.91,0.0,16.6,213.0,68930.0,7852.0,2.3,3777000.0,8.1,0.0,2.0,0.0,17885000.0,16.9,34.6,0.0,93.0,11040.0,6.6,9270.0,12860.0,35.23,325.0,64.412,19470234.0,No,Yes,19470234.0,18110000000.0,19470234.0,68.43,0.12,19470234.0,19470234.0,0.081,With mosquitoes but no reported Zika cases
Namibia,89.09,0.0,15.49,6.21,1.39,1137.75,9.82,4.1,6.25,105.72,61.52,38.12,4.09,1.74,4.68,4.37,5.58,0.04,147.62,37.7,12.49,1137.75,1.66,3.04,23.5,9.38,4.38,40.96,0.87,9.45,0.15,1.65,7.84,10.07,1.37,1137.75,1.74,8.92,2.22,44.05,9.09,2.57,2.39,117.61,13.51,74.32,1.04,20.18,956800.0,1403.0,27000.0,3.03,35.7,0.0,30.38,0.0,37.5,195.0,30890.0,5384.0,3.9,3958000.0,17.2,0.0,8.0,0.0,2504000.0,21.8,9.0,0.0,64.0,3891.0,6.1,6515.0,0.0,25.33,54.0,64.492,2633874.0,No,Yes,2633874.0,10620000000.0,2633874.0,66.19,0.07,2633874.0,2633874.0,0.172,With mosquitoes but no reported Zika cases
Vanuatu,76.57,0.0,29.89,2.94,1.17,1213.19,5.66,4.85,9.24,299.44,81.66,46.26,12.56,0.24,4.71,7.87,1.74,0.07,0.0,31.5,5.91,1213.19,4.06,14.32,27.4,6.17,8.83,78.03,0.0,6.59,0.14,0.0,0.61,12.56,0.65,1213.19,0.79,7.41,16.53,17.4,0.0,4.13,2.91,190.53,20.97,7.46,0.87,2.69,115900.0,63.0,1100.0,2.72,33.7,0.0,14.69,0.0,22.8,72.0,772.0,273.7,4.4,164800.0,25.2,0.0,29.0,0.0,294700.0,23.0,5.5,0.0,0.0,59.0,3.1,208.1,0.0,21.95,4.0,70.842,321832.0,No,Yes,321832.0,994000000.0,321832.0,93.92,0.16,321832.0,321832.0,0.252,Current or past transmission but no Zika outbreak
Tajikistan,71.99,0.0,7.97,5.88,1.15,1006.55,1.8,3.56,5.99,389.75,33.52,6.04,5.88,0.36,2.11,4.57,3.37,0.09,2.75,47.19,1.42,1006.55,1.21,4.82,37.85,7.15,5.8,29.97,0.0,0.03,0.13,11.07,2.13,3.36,2.02,1006.55,0.49,0.83,3.58,19.35,0.91,0.22,15.97,160.78,5.32,12.24,1.92,2.23,2295000.0,17030.0,24000.0,2.48,31.4,19820.0,33.05,19820.0,27.8,17.0,28430.0,2390.0,3.6,6329000.0,14.2,0.0,0.0,0.0,9407000.0,25.3,26.2,0.0,94.0,12960.0,7.3,3976.0,0.0,21.22,125.0,71.562,9957464.0,No,Yes,9957464.0,8130000000.000001,9957464.0,87.71,0.07,9957464.0,9957464.0,0.142,No mosquitoes that spread Zika
India,80.12,0.0,18.49,5.11,1.34,809.54,3.72,7.03,4.7,140.72,25.49,64.45,3.76,0.94,1.29,21.87,1.84,0.11,3.35,10.68,1.12,809.54,2.79,2.67,22.24,11.98,7.82,87.9,0.59,0.7,0.19,3.4,11.45,12.19,2.97,809.54,0.27,3.14,10.94,16.33,0.47,1.62,7.07,64.97,12.91,32.84,0.61,3.84,521900000.0,1386000.0,4521000.0,2.28,26.3,55430000.0,39.55,31540000.0,8.9,145.0,8976876.0,452200.0,6.7,2383000000.0,3.9,2.0,16.0,23960000.0,1371360000.0,28.7,5.9,0.0,12.0,1137000.0,3.6,507000.0,4057000.0,17.53,28279.0,70.19,1406631776.0,No,Yes,1406631776.0,2670000000000.0,1406631776.0,76.24,0.1,1406631776.0,1406631776.0,0.039,Current or past transmission but no Zika outbreak
United Kingdom,113.21,0.12,0.86,0.35,3.54,378.96,1.04,12.09,3.07,43.08,3.59,0.86,0.4,4.16,2.84,4.31,0.32,0.29,0.23,2.97,2.47,378.96,3.55,3.64,7.9,2.42,24.68,19.8,0.0,0.09,1.58,6.08,2.46,3.64,6.2,378.96,0.25,7.3,0.54,2.81,2.62,1.2,3.32,20.17,6.88,0.25,1.58,1.22,33500000.0,318200.0,1584000.0,1.86,17.6,79170000.0,4.27,42110000.0,37.6,7.0,2683983.0,615900.0,18.5,424000000.0,27.8,9.0,39.0,47000000.0,67100000.0,40.6,0.0,710600.0,2.0,309200.0,2.7,8126000.0,907100.0,11.77,1765.0,81.646,68497907.0,Yes,No,68497907.0,2760000000000.0,68497907.0,99.12,0.06,68497907.0,68497907.0,0.278,No mosquitoes that spread Zika
